"Refs","Value","Footprint","Qty","Description","DNP"
"C1,C3-C6","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5","Pi 3V3 rail decoupling,U1 VDD decoupling,U2 VCC decoupling,U4 VCC decoupling,ULN2803A COM rail decoupling",""
"C2,C7","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2","MCP3008 VREF/VDD bulk,Pi 3V3 rail bulk",""
"C8","220uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","Motor supply bulk reservoir",""
"J1","RPi_GPIO_2x20","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1","Raspberry Pi 3 40-pin GPIO header",""
"J2","FSR0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 0",""
"J3","FSR1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 1",""
"J4","FSR2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 2",""
"J5","FSR3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 3",""
"J6","FSR4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 4",""
"J7","FSR5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 5",""
"J8","FSR6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 6",""
"J9","FSR7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board FSR note key 7",""
"J10","MOTOR0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 0",""
"J11","MOTOR1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 1",""
"J12","MOTOR2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 2",""
"J13","MOTOR3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 3",""
"J14","MOTOR4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 4",""
"J15","MOTOR5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 5",""
"J16","MOTOR6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 6",""
"J17","MOTOR7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Off-board vibration motor 7",""
"J18","MOTOR_PWR","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1","Separate motor supply input (V+ / GND)",""
"J19","AUX_IN","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1","Auxiliary digital input header (GND, D0..D7, GND)",""
"R1-R16","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","16","AUX input pulldown 0,AUX input pulldown 1,AUX input pulldown 2,AUX input pulldown 3,AUX input pulldown 4,AUX input pulldown 5,AUX input pulldown 6,AUX input pulldown 7,FSR divider pulldown, channel 0,FSR divider pulldown, channel 1,FSR divider pulldown, channel 2,FSR divider pulldown, channel 3,FSR divider pulldown, channel 4,FSR divider pulldown, channel 5,FSR divider pulldown, channel 6,FSR divider pulldown, channel 7",""
"U1","MCP3008","Package_DIP:DIP-16_W7.62mm_Socket","1","8-channel 10-bit SPI ADC (socketed)",""
"U2","74HC595","Package_DIP:DIP-16_W7.62mm_Socket","1","8-bit serial-in parallel-out shift register (socketed)",""
"U3","ULN2803A","Package_DIP:DIP-18_W7.62mm_Socket","1","8-channel Darlington driver array (socketed)",""
"U4","74HC165","Package_DIP:DIP-16_W7.62mm_Socket","1","8-bit parallel-in shift register (socketed, DNP)","DNP"
